time,2016/9/4,2016/9/11,2016/9/18,2016/9/25,2016/10/2,2016/10/16,2016/10/23,2016/10/30,2016/11/6,2016/11/13,2016/11/20,2016/11/27,2016/12/4,2016/12/11,2016/12/18,2016/12/25,2017/1/1,2017/1/8,2017/1/15,2017/1/22,2017/1/29,2017/2/5,2017/2/12,2017/2/19,2017/2/26,2017/3/5,2017/3/12,2017/3/19,2017/3/26
603355.SH,5.88,,,2.78,5.56,2.56,2.5,,2.44,2.38,2.33,15.91,9.8,3.57,3.45,,,,,,,,,,,
603345.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603339.SH,,,,3.33,,9.68,8.82,,2.7,23.68,8.51,7.84,,,,9.09,,,,,,,,,,
603338.SH,,,,,,,,,1.89,1.85,,1.82,,,,,7.14,,,,,,,,1.59,
603337.SH,,,,,,,,,,,,,,,,,,,,33.33,,,9.09,16.67,,
603336.SH,,,,,,,,,,,,,,,,233.33,10,,37.5,4.55,,,29.17,16.67,2.86,2.78
603335.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603333.SH,,,,,,,1.45,,1.43,,2.82,1.37,1.35,,,,4,,1.27,,,,,,,
603331.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603330.SH,,,,,,,,,,,,,,,,,,,,,,,,,,100
603328.SH,,,,,0.49,,0.49,0.98,,,,,,,,,,,,,,,,,,
603326.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603323.SH,,,,,,,,,,,,,,50,66.67,20,,,,,,,,16.67,,57.14
603322.SH,100,,,,12.5,,55.56,,7.14,13.33,,,17.65,9.52,8.7,8,3.7,,,3.57,,,,,6.67,6.25
603320.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603319.SH,,,,,,,,,,,,,,,,,,,,,,,100,100,,
603318.SH,2.78,,,,,,,,,8.11,2.56,10.26,4.65,2.22,2.17,,2.13,,2.08,,,,,,,
603316.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603315.SH,,,,,,6.45,,3.03,,17.65,,,,,,,2.5,,,4.76,,,,,,
603313.SH,,,,,,,33.33,300,13.33,11.76,,,5.26,,5,4.76,,,,,,,,4.55,,
603311.SH,3.13,,,,,,1.37,5.41,,,,,,,3.85,,1.22,,2.38,,,,,,,
603309.SH,,,,,,,,,0.83,,,,,0.83,0.82,,,,,,,,,,,
603308.SH,1.36,,,1.31,0.65,,,,,,,0.64,,,,,,,,,,,,0.64,,
603306.SH,5.94,,,1.87,0.92,,2.7,0.88,2.61,0.85,,0.84,1.67,0.82,4.07,0.78,1.55,,0.75,,,,1.47,,1.45,1.43
603305.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603303.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603300.SH,,,,1.23,1.22,1.19,1.18,,1.16,1.15,,1.14,,,,,1.14,,,,,,3.3,1.06,,4.21
603299.SH,,,,6.9,,,,,,3.23,6.25,5.88,27.78,2.17,,,,,,,,,,2.13,8.33,
603298.SH,,,,,,,,,,,,,,,,,,,100,,,,,,40,28.57
603288.SH,0.33,,,0.65,0.32,0.32,0.32,,0.32,0.32,0.64,,0.32,0.32,0.63,0.95,0.63,,0.31,0.93,,,1.22,,0.3,0.6
603286.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603269.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603268.SH,,,,25,2.86,2.7,,2.63,5.13,2.44,2.38,,2.33,,,,,,,,,,,,,
603266.SH,,,,,,,,,,,,,,,,,,,,,,,,100,,
603258.SH,,,,,,,,,,,300,,57.14,53.85,65,6.06,5.71,,13.51,13.33,,,2.08,,10.2,2
603239.SH,,,,,,,,,,,,,,,,,,,300,,,,16.67,,,14.29
603238.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603233.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603232.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603229.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603228.SH,,,,,,,,,,,,,,,,,,,,,,,25,,,30
603227.SH,1.05,,,2.06,1.01,1,,,,,,,,,,,,,,,,,,,,
603226.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603225.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603223.SH,3.57,,,,,,2.3,2.25,,,,,,,,,,,,,,,,,,
603222.SH,,,,,,,,2.5,,,,,,,4.88,4.76,6.82,,6,,,,,,,
603218.SH,,,,,,,,,,,,,,,,,,,,,,,,,75,57.14
603208.SH,,,,,,,,,,,,,,,,,,,,,,,,,,100
603203.SH,,,,,,,,,,,,,,,,200,33.33,,20,16.67,,,28.57,,11.11,10
603200.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603199.SH,,,,,,,,,,1.82,1.79,3.51,,,,,,,,,,,,1.75,,
603198.SH,1,,,,1.92,,,,,,1.9,0.93,0.93,,,,,,,,,,,,5.94,
603197.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603196.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603189.SH,,,,100,,,50,166.67,46.67,18.18,11.54,,,,,,,,,23.08,,,,,,
603188.SH,,,,,1.18,,,1.15,1.14,,,1.12,,1.11,,2.2,,,,,,,,2.15,,
603186.SH,,,,,,,,,,,,,,,,,,,,,,,100,25,,
603181.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603180.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603179.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603178.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
